"","rt1","rt2"
"1",1.29224641286014,1.15306919211074
"2",1.52073670648276,1.31690974902206
"3",1.1321766531512,0.973836176483019
"4",1.33712923479643,1.1041553890427
"5",1.42606050371228,1.63651434529496
"6",1.99095153592361,1.82784976885556
"7",1.86167726540753,1.62509533072125
"8",1.72901804028114,1.4378010292517
"9",1.84357904368421,1.1941494324507
"10",2.01590896028767,1.77688618623843
"11",1.43222007057554,1.26650667444906
"12",1.61868083854452,1.56782885077891
"13",1.52927342293836,1.28774035251515
"14",1.91591154300687,1.43883506343581
"15",1.52637115255479,1.24605752369831
"16",1.39979953961592,0.939051788087542
"17",1.08633980426871,0.999731556793919
"18",0.682866001269896,0.702761599888112
"19",1.03686020033564,0.978095773245675
"20",1.1603281201831,1.12042637893537
"21",2.57334160803042,2.21901788451761
"22",1.97823221589003,2.08504514693407
"23",1.74896842780623,1.60415010943299
"24",1.46379173452431,1.36677757168136
"25",1.21414748705782,1.22083343990625
"26",1.46976275233681,1.29072794719865
"27",1.33313702284859,1.26080422480822
"28",1.22815425896587,1.19205799706597
"29",1.3533350939338,1.1464164784094
"30",1.49852070020775,1.36967001483217
"31",1.45814017813699,1.45111546345035
"32",2.35363022138811,2.0396512579898
"33",1.2230591312953,1.26506978695789
"34",2.28886262170629,1.81771731722569
"35",1.41411742244014,1.00984800911111
"36",0.988457199027491,0.874083918838028
"37",1.18505052923944,1.07530782593993
"38",1.23055050067931,1.17018367409655
"39",1.33455637375714,1.15137458579443
"40",1.79519086519435,1.60491959945791
"41",1.08598403979522,1.0377181120692
"42",1.2946292200785,1.26777238660208
"43",1.7753633978942,1.46427609801695
"44",1.24950190880277,1.03384499417627
"45",1.36493499407958,1.24832366526441
"46",1.79850584991986,1.49008107548789
"47",1.22724328327273,1.11443631506529
"48",1.66437787034155,1.41081256061168
"49",1.60072019930142,1.2998589717483
"50",1.80134600924306,1.64408810580887
"51",1.3616912695122,1.20167394090816
"52",1.28410944276027,1.20371836775086
"53",2.31549815911498,1.98484920605208
"54",1.37670414778049,1.20582085904467
"55",1.17267771766084,1.02774148075801
"56",1.41532164804965,1.40320971528772
"57",1.17545304994863,1.01771607954362
"58",2.026062350875,2.00639748132993
"59",1.54568596833214,1.362500538175
"60",1.12068847569178,0.992639121255102
